uri,track_name,artist,album,attempts,last_error,updated_at
spotify:track:4gBQbegBZlPhMgaWVzCCY5,,,,1,"       use_ytm_data=downloader.settings[""ytm_data""],                  |
|   28         playlist_numbering=downloader.settings[""playlist_numbering""],  |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\utils\search.py:251 in          |
| get_simple_songs                                                            |
|                                                                             |
|   248                                                                       |
|   249                     lists.append(spot_list)                           |
|   250         elif ""open.spotify.com"" in request and ""track"" in request:    |
| > 251             songs.append(Song.from_url(url=request))                  |
|   252         elif ""https://spotify.link/"" in request:                      |
|   253             resp = requests.head(request, allow_redirects=True, timeo |
|   254             full_url = resp.url                                       |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\types\song.py:92 in from_url    |
|                                                                             |
|    89             )                                                         |
|    90                                                                       |
|    91         if raw_track_meta[""duration_ms""] == 0 or raw_track_meta[""name |
| >  92             raise SongError(f""Track no longer exists: {url}"")         |
|    93                                                                       |
|    94         # get artist info                                             |
|    95         primary_artist_id = raw_track_meta[""artists""][0][""id""]        |
+-----------------------------------------------------------------------------+
SongError: Track no longer exists:
https://open.spotify.com/track/4gBQbegBZlPhMgaWVzCCY5",2026-05-06T12:34:14+00:00
spotify:track:5CSEaABQkS1hoLza0IpK2r,,,,1,"       use_ytm_data=downloader.settings[""ytm_data""],                  |
|   28         playlist_numbering=downloader.settings[""playlist_numbering""],  |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\utils\search.py:251 in          |
| get_simple_songs                                                            |
|                                                                             |
|   248                                                                       |
|   249                     lists.append(spot_list)                           |
|   250         elif ""open.spotify.com"" in request and ""track"" in request:    |
| > 251             songs.append(Song.from_url(url=request))                  |
|   252         elif ""https://spotify.link/"" in request:                      |
|   253             resp = requests.head(request, allow_redirects=True, timeo |
|   254             full_url = resp.url                                       |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\types\song.py:92 in from_url    |
|                                                                             |
|    89             )                                                         |
|    90                                                                       |
|    91         if raw_track_meta[""duration_ms""] == 0 or raw_track_meta[""name |
| >  92             raise SongError(f""Track no longer exists: {url}"")         |
|    93                                                                       |
|    94         # get artist info                                             |
|    95         primary_artist_id = raw_track_meta[""artists""][0][""id""]        |
+-----------------------------------------------------------------------------+
SongError: Track no longer exists:
https://open.spotify.com/track/5CSEaABQkS1hoLza0IpK2r",2026-05-06T12:34:17+00:00
spotify:track:4hcIkSjuNMYd2bREG38xgH,,,,1,"       use_ytm_data=downloader.settings[""ytm_data""],                  |
|   28         playlist_numbering=downloader.settings[""playlist_numbering""],  |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\utils\search.py:251 in          |
| get_simple_songs                                                            |
|                                                                             |
|   248                                                                       |
|   249                     lists.append(spot_list)                           |
|   250         elif ""open.spotify.com"" in request and ""track"" in request:    |
| > 251             songs.append(Song.from_url(url=request))                  |
|   252         elif ""https://spotify.link/"" in request:                      |
|   253             resp = requests.head(request, allow_redirects=True, timeo |
|   254             full_url = resp.url                                       |
|                                                                             |
| D:\CODE\AI_ML\venv\Lib\site-packages\spotdl\types\song.py:92 in from_url    |
|                                                                             |
|    89             )                                                         |
|    90                                                                       |
|    91         if raw_track_meta[""duration_ms""] == 0 or raw_track_meta[""name |
| >  92             raise SongError(f""Track no longer exists: {url}"")         |
|    93                                                                       |
|    94         # get artist info                                             |
|    95         primary_artist_id = raw_track_meta[""artists""][0][""id""]        |
+-----------------------------------------------------------------------------+
SongError: Track no longer exists:
https://open.spotify.com/track/4hcIkSjuNMYd2bREG38xgH",2026-05-06T12:36:51+00:00
spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,STAY (with Justin Bieber),1,"Scanning for known songs, this might take a while...
Your application has reached a rate/request limit. Retry will occur after: 1 s
Stopped early because Spotify returned a rate limit.",2026-05-06T12:36:55+00:00
spotify:track:27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),1,"Scanning for known songs, this might take a while...
Your application has reached a rate/request limit. Retry will occur after: 1 s
Stopped early because Spotify returned a rate limit.",2026-05-06T12:36:55+00:00
spotify:track:26XaOsDMbl0e1cVKYfkz6w,Falling,Trevor Daniel,Falling,1,"Scanning for known songs, this might take a while...
Your application has reached a rate/request limit. Retry will occur after: 1 s
Stopped early because Spotify returned a rate limit.",2026-05-06T12:36:55+00:00
