Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4LO5DjN6Tp3UkUvgESuy2t,"Samjhawan","Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack)","Jawad Ahmad;Shaarib Toshi;Arijit Singh;Shreya Ghoshal",2014-06-19,269184,71,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,hindi pop,desi,bangla pop,kannada pop,marathi pop","Sony Music Entertainment India Pvt. Ltd.",0.65,0.482,4,-8.667,1,0.0281,0.293,0,0.0811,0.517,106.994,4
spotify:track:0mboVyI4R4MPH23yceAMz3,"Hangover","Kick","Salman Khan;Meet Bros Anjjan;Shreya Ghoshal;Kumaar",2014-07-07,375551,64,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop","T-Series",0.675,0.669,6,-4.878,0,0.0359,0.412,0,0.21,0.618,90.027,4
spotify:track:3t3wsY5IdLVzB9WidegJSU,"Jeene Laga Hoon","Ramaiya Vastavaiya (Original Motion Picture Soundtrack)","Sachin-Jigar;Atif Aslam;Shreya Ghoshal",2013-07-19,236933,78,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"gujarati pop,bollywood,hindi pop,desi,gujarati garba,sufi,qawwali,kannada pop,marathi pop,bangla pop","Tips Music Limited",0.533,0.732,7,-7.901,0,0.0424,0.166,0.000189,0.138,0.554,90.315,4
spotify:track:1gwO79MdYdumgIjxq8eCxB,"Bahara","I Hate Luv Storys (Original Motion Picture Soundtrack)","Vishal-Shekhar;Shreya Ghoshal;Sona Mohapatra",2010-05-25,325706,70,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,desi,hindi pop,kannada pop,marathi pop,bangla pop","Sony Music Entertainment India Pvt. Ltd.",0.595,0.739,5,-6.733,1,0.0359,0.0716,0.00000698,0.134,0.722,87.834,4
spotify:track:1eZefeDb8uOsjvcbl1fJrG,"Naina (From ""Crew"")","Naina (From ""Crew"")","Diljit Dosanjh;Badshah;Raj Ranjodh",2024-03-05,180000,70,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bhangra,punjabi pop,punjabi hip hop,desi,bollywood,desi hip hop,hindi pop,hindi hip hop,desi pop","Tips Music Limited",0.84,0.715,0,-5.141,1,0.187,0.176,0,0.0935,0.542,96.98,4
spotify:track:4cEhCuw7sLZsLIQA1EBvxZ,"Crazy Feeling","Nenu Sailaja","Prudhvi Chandra",2015-12-21,209961,7,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood","Aditya Music",0.948,0.783,7,-4.058,0,0.0422,0.182,0.0000782,0.0519,0.579,130.042,4
spotify:track:0JLLcOdBUKfDtzY0seXQHC,"Chali Chaliga","Mr Perfect","Shreya Ghoshal",2011-03-18,297130,7,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,hindi pop,desi,kannada pop,marathi pop,bangla pop","Aditya Music",0.711,0.545,11,-5.902,0,0.0527,0.634,0.0143,0.153,0.882,166.925,3
spotify:track:2UVUw5rcOfMzS4NoGw3uxr,"Infatuation","100% Love","Adnan Sami",2011-04-11,308215,54,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"sufi,qawwali,desi pop,ghazal,bollywood,telugu pop,tollywood","Aditya Music",0.822,0.763,7,-3.331,0,0.0796,0.374,0.000276,0.183,0.893,98.027,4
spotify:track:1tpSHNJZjyudKu3kK4wNJo,"Pilla Nuvvu Leni Jeevitham","Pilla Nuvvu Leni Jeevitham","Anudeep Dev;Rahul",2014-10-25,234692,2,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood,devotional","Aditya Music",0.812,0.709,5,-7.857,1,0.0677,0.195,0,0.0993,0.908,91.928,4
spotify:track:5H1fqGHrjR78hQKw3iPjp2,"Love Cheyyaala Oddhaa","Kumari 21 F","Narendra",2015-10-31,203348,1,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood","Aditya Music",0.862,0.731,7,-4.683,1,0.0951,0.215,0.000672,0.0919,0.905,138.075,4
spotify:track:7IsCmld8aCYXj1NbSn9t2K,"Jatha Kalise","Srimanthudu","Sagar;Suchitra",2015-07-18,224194,5,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"telugu pop,tollywood,tamil dance,tamil pop,kollywood","Aditya Music",0.78,0.653,0,-6.393,1,0.0429,0.262,0.00000726,0.039,0.685,86.987,4
spotify:track:4RVwu0g32PAqgUiJoXsdF8,"Happier Than Ever","Happier Than Ever","Billie Eilish",2021-07-30,298899,85,true,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Darkroom/Interscope Records",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
spotify:track:6qrifdo7QINdPQr80IelGi,"Iraaday","Iraaday","Rovalio;Abdul Hannan",2022-03-18,133305,54,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"indian indie,hindi indie,desi,desi pop","Rovalio",0.737,0.458,6,-5.805,1,0.0317,0.601,0.00000698,0.138,0.456,89.993,4
spotify:track:3be9ACTxtcL6Zm4vJRUiPG,"blue","blue","yung kai",2024-08-02,214357,82,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","BMG Rights Management (US) LLC",0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
spotify:track:1ax8ZuwRVkSdzzsIqyCNWQ,"Tumse Milke Dil Ka","Main Hoon Na","Sonu Nigam;Sabri Brothers",2004-02-27,359253,66,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop,qawwali,sufi","T-Series",0.853,0.745,9,-8.636,0,0.109,0.0642,0.00000187,0.0274,0.882,107.985,4
